model,config,arm,task,curriculum,residual,lora_r,process_steps,seeds,trainable_params,acc_h1,acc_h2,acc_h3,acc_h4,acc_h5,acc_h6,acc_h7,acc_h8,std_h1,std_h2,std_h3,std_h4,std_h5,std_h6,std_h7,std_h8,probe_x1,probe_x2,probe_x3,probe_x4,probe_x5,probe_x6
Qwen2.5-0.5B,baseline_no_curriculum,A,,,,,,,1081344,1.0,0.9961,0.7227,0.3438,0.1523,0.0391,,,,,,,,,,,,,,,,
Qwen2.5-0.5B,baseline_no_curriculum,B,,,,,,,4295296,0.2969,0.1172,0.1016,0.0703,0.1211,0.082,,,,,,,,,,,0.5675,0.1425,0.1187,0.0963,,
Qwen2.5-0.5B,baseline_no_curriculum,C,,,,,,,4304266,0.9805,0.1641,0.1211,0.0859,0.1094,0.0742,,,,,,,,,,,1.0,0.2525,0.1138,0.1113,,
Qwen2.5-0.5B,curriculum,A,,True,,,,,1081344,1.0,0.9688,0.8555,0.6641,0.3398,0.1016,,,,,,,,,,,,,,,,
Qwen2.5-0.5B,curriculum,B,,True,,,,,4295296,1.0,0.9023,0.7695,0.6602,0.5156,0.1562,,,,,,,,,,,0.1938,0.1363,0.2137,0.8063,,
Qwen2.5-0.5B,curriculum,C,,True,,,,,4304266,1.0,0.9883,0.9297,0.7578,0.4961,0.0898,,,,,,,,,,,1.0,0.2487,0.2225,0.8075,,
Qwen2.5-3B-Instruct,curriculum,A,,True,False,8,,,3686400,1.0,1.0,1.0,0.9922,1.0,0.9883,0.8359,0.3633,,,,,,,,,,,,,,
Qwen2.5-3B-Instruct,curriculum,B,,True,False,8,,,20469760,1.0,1.0,1.0,0.9961,0.9961,0.9805,0.6016,0.1484,,,,,,,,,0.17,0.1125,0.0912,0.1163,0.145,0.9775
Qwen2.5-3B-Instruct,curriculum,C,,True,False,8,,,20490250,1.0,1.0,1.0,0.9961,1.0,0.9922,0.9023,0.3398,,,,,,,,,1.0,1.0,0.9938,0.865,0.65,0.9812
Qwen2.5-3B-Instruct,q1_residual_uniform_B,B,,False,True,8,,,20469760,1.0,1.0,1.0,0.9922,0.9922,0.8945,0.5117,0.1914,,,,,,,,,0.1325,0.1175,0.1025,0.1025,0.18,0.95
Qwen2.5-3B-Instruct,q1_residual_uniform_C,C,,False,True,8,,,20490250,1.0,1.0,1.0,0.9961,0.9922,0.9609,0.4414,0.1719,,,,,,,,,0.9962,0.9838,0.4288,0.44,0.2125,0.9437
Qwen2.5-3B-Instruct,q2_matched_sft,A,,True,False,32,,,14745600,1.0,1.0,1.0,1.0,0.9883,0.9766,0.375,0.0273,,,,,,,,,,,,,,
Qwen2.5-3B-Instruct,causal_all,C,arith,True,False,8,all,0,20490250,1.0,1.0,1.0,0.9961,1.0,0.9922,0.9023,0.3398,,,,,,,,,1.0,1.0,0.9938,0.865,0.65,0.9812
Qwen2.5-3B-Instruct,causal_first_half,C,arith,True,False,8,first_half,0,20490250,1.0,1.0,1.0,1.0,1.0,0.9883,0.793,0.3086,,,,,,,,,1.0,1.0,0.9988,0.2025,0.1425,0.9888
Qwen2.5-3B-Instruct,causal_second_half,C,arith,True,False,8,second_half,0,20490250,1.0,1.0,1.0,0.9961,0.9883,0.9883,0.6914,0.1719,,,,,,,,,0.2263,0.1825,0.2213,0.9712,0.9175,0.9875
Qwen2.5-3B-Instruct,perm_A,A,perm,True,False,8,all,0,3686400,1.0,1.0,1.0,1.0,0.7227,0.9766,0.1016,0.1016,,,,,,,,,,,,,,
Qwen2.5-3B-Instruct,perm_B,B,perm,True,False,8,all,0,20469760,1.0,1.0,1.0,0.9883,0.9492,0.9844,0.1055,0.0859,,,,,,,,,0.9337,0.7025,0.5675,0.4675,0.4975,0.9575
Qwen2.5-3B-Instruct,perm_C,C,perm,True,False,8,all,0,20490250,1.0,1.0,1.0,0.9922,0.9922,1.0,0.3047,0.1172,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.9988
Qwen2.5-3B-Instruct,seeds_A,A,arith,True,False,8,all,"0,1,2",3686400,1.0,1.0,1.0,0.9974,0.9987,0.9909,0.6302,0.1849,0.0,0.0,0.0,0.0045,0.0023,0.0045,0.1978,0.1598,,,,,,
Qwen2.5-3B-Instruct,seeds_B,B,arith,True,False,8,all,"0,1,2",20469760,1.0,1.0,1.0,0.9987,0.9948,0.974,0.651,0.2044,0.0,0.0,0.0,0.0023,0.006,0.0185,0.0695,0.0588,0.1537,0.11,0.1021,0.1117,0.1712,0.9821
Qwen2.5-3B-Instruct,seeds_C,C,arith,True,False,8,all,"0,1,2",20490250,1.0,1.0,1.0,0.9987,0.9974,0.9844,0.7487,0.2279,0.0,0.0,0.0,0.0023,0.0045,0.0078,0.1424,0.1095,0.8783,0.7075,0.6975,0.655,0.5912,0.98
Qwen2.5-3B-Instruct,causal_none,B,arith,True,,,none,,20469760,1.0,1.0,1.0,1.0,1.0,0.98,0.6,0.15,,,,,,,,,,,,,,
