
============================================================
ARM K0
============================================================
[arm K0] trainable=401,560 device=cuda decays=[0.0, 0.7, 0.95, 0.99] read=SEVERED | session
  step   50/4000 loss=2.308 acc=0.104 ref=0.106 lit=0.103 read_sup=0.000 | ref_ema=0.094
  step  100/4000 loss=2.306 acc=0.100 ref=0.084 lit=0.113 read_sup=0.000 | ref_ema=0.099
  step  150/4000 loss=2.306 acc=0.103 ref=0.095 lit=0.108 read_sup=0.000 | ref_ema=0.099
  step  200/4000 loss=2.305 acc=0.099 ref=0.089 lit=0.105 read_sup=0.000 | ref_ema=0.103
  step  250/4000 loss=2.311 acc=0.098 ref=0.093 lit=0.101 read_sup=0.000 | ref_ema=0.099
  step  300/4000 loss=2.310 acc=0.098 ref=0.087 lit=0.106 read_sup=0.000 | ref_ema=0.110
  step  350/4000 loss=2.318 acc=0.085 ref=0.088 lit=0.082 read_sup=0.000 | ref_ema=0.102
  step  400/4000 loss=2.314 acc=0.096 ref=0.076 lit=0.110 read_sup=0.000 | ref_ema=0.099
  step  450/4000 loss=2.308 acc=0.079 ref=0.088 lit=0.073 read_sup=0.000 | ref_ema=0.097
  step  500/4000 loss=2.306 acc=0.118 ref=0.105 lit=0.128 read_sup=0.000 | ref_ema=0.102
  step  550/4000 loss=2.305 acc=0.103 ref=0.110 lit=0.098 read_sup=0.000 | ref_ema=0.097
  step  600/4000 loss=2.305 acc=0.126 ref=0.133 lit=0.121 read_sup=0.000 | ref_ema=0.101
  step  650/4000 loss=2.308 acc=0.086 ref=0.079 lit=0.091 read_sup=0.000 | ref_ema=0.098
  step  700/4000 loss=2.305 acc=0.098 ref=0.125 lit=0.080 read_sup=0.000 | ref_ema=0.102
  step  750/4000 loss=2.310 acc=0.086 ref=0.096 lit=0.079 read_sup=0.000 | ref_ema=0.096
  step  800/4000 loss=2.307 acc=0.102 ref=0.107 lit=0.097 read_sup=0.000 | ref_ema=0.103
  step  850/4000 loss=2.304 acc=0.105 ref=0.111 lit=0.102 read_sup=0.000 | ref_ema=0.097
  step  900/4000 loss=2.307 acc=0.099 ref=0.055 lit=0.128 read_sup=0.000 | ref_ema=0.096
  step  950/4000 loss=2.312 acc=0.090 ref=0.069 lit=0.106 read_sup=0.000 | ref_ema=0.098
  step 1000/4000 loss=2.303 acc=0.100 ref=0.095 lit=0.104 read_sup=0.000 | ref_ema=0.099
  step 1050/4000 loss=2.301 acc=0.120 ref=0.129 lit=0.113 read_sup=0.000 | ref_ema=0.102
  step 1100/4000 loss=2.310 acc=0.094 ref=0.092 lit=0.095 read_sup=0.000 | ref_ema=0.100
  step 1150/4000 loss=2.311 acc=0.098 ref=0.107 lit=0.090 read_sup=0.000 | ref_ema=0.105
  step 1200/4000 loss=2.305 acc=0.082 ref=0.110 lit=0.064 read_sup=0.000 | ref_ema=0.099
  step 1250/4000 loss=2.306 acc=0.087 ref=0.100 lit=0.078 read_sup=0.000 | ref_ema=0.102
  step 1300/4000 loss=2.303 acc=0.098 ref=0.097 lit=0.098 read_sup=0.000 | ref_ema=0.099
  step 1350/4000 loss=2.300 acc=0.105 ref=0.096 lit=0.113 read_sup=0.000 | ref_ema=0.097
  step 1400/4000 loss=2.303 acc=0.109 ref=0.102 lit=0.115 read_sup=0.000 | ref_ema=0.100
  step 1450/4000 loss=2.303 acc=0.092 ref=0.089 lit=0.095 read_sup=0.000 | ref_ema=0.094
  step 1500/4000 loss=2.299 acc=0.116 ref=0.117 lit=0.115 read_sup=0.000 | ref_ema=0.100
  step 1550/4000 loss=2.308 acc=0.091 ref=0.081 lit=0.098 read_sup=0.000 | ref_ema=0.098
  step 1600/4000 loss=2.302 acc=0.102 ref=0.118 lit=0.089 read_sup=0.000 | ref_ema=0.099
  step 1650/4000 loss=2.304 acc=0.094 ref=0.079 lit=0.104 read_sup=0.000 | ref_ema=0.100
  step 1700/4000 loss=2.307 acc=0.090 ref=0.085 lit=0.093 read_sup=0.000 | ref_ema=0.095
  step 1750/4000 loss=2.305 acc=0.098 ref=0.086 lit=0.107 read_sup=0.000 | ref_ema=0.103
  step 1800/4000 loss=2.301 acc=0.118 ref=0.108 lit=0.126 read_sup=0.000 | ref_ema=0.100
  step 1850/4000 loss=2.305 acc=0.079 ref=0.071 lit=0.086 read_sup=0.000 | ref_ema=0.102
  step 1900/4000 loss=2.301 acc=0.100 ref=0.118 lit=0.086 read_sup=0.000 | ref_ema=0.102
  step 1950/4000 loss=2.303 acc=0.095 ref=0.090 lit=0.099 read_sup=0.000 | ref_ema=0.102
  step 2000/4000 loss=2.303 acc=0.116 ref=0.110 lit=0.120 read_sup=0.000 | ref_ema=0.096
  step 2050/4000 loss=2.302 acc=0.102 ref=0.082 lit=0.116 read_sup=0.000 | ref_ema=0.101
  step 2100/4000 loss=2.307 acc=0.083 ref=0.089 lit=0.079 read_sup=0.000 | ref_ema=0.101
  step 2150/4000 loss=2.305 acc=0.096 ref=0.127 lit=0.074 read_sup=0.000 | ref_ema=0.102
