
============================================================
ARM K0
============================================================

----- K0 seed 0 -----
[arm K0] trainable=401,560 device=cuda decays=[0.0, 0.7, 0.95, 0.99] read=SEVERED | session
  step   50/1500 loss=2.329 acc=0.092 ref=0.089 lit=0.095 read_sup=0.000 | ref_ema=0.090
  step  100/1500 loss=2.308 acc=0.095 ref=0.092 lit=0.097 read_sup=0.000 | ref_ema=0.096
  step  150/1500 loss=2.316 acc=0.102 ref=0.119 lit=0.090 read_sup=0.000 | ref_ema=0.102
  step  200/1500 loss=2.308 acc=0.096 ref=0.093 lit=0.099 read_sup=0.000 | ref_ema=0.095
  step  250/1500 loss=2.306 acc=0.102 ref=0.105 lit=0.099 read_sup=0.000 | ref_ema=0.107
  step  300/1500 loss=2.317 acc=0.083 ref=0.081 lit=0.086 read_sup=0.000 | ref_ema=0.103
  step  350/1500 loss=2.303 acc=0.121 ref=0.117 lit=0.124 read_sup=0.000 | ref_ema=0.101
  step  400/1500 loss=2.314 acc=0.120 ref=0.134 lit=0.109 read_sup=0.000 | ref_ema=0.106
  step  450/1500 loss=2.304 acc=0.112 ref=0.106 lit=0.116 read_sup=0.000 | ref_ema=0.101
  step  500/1500 loss=2.311 acc=0.095 ref=0.085 lit=0.102 read_sup=0.000 | ref_ema=0.103
  step  550/1500 loss=2.313 acc=0.121 ref=0.133 lit=0.113 read_sup=0.000 | ref_ema=0.097
  step  600/1500 loss=2.310 acc=0.104 ref=0.098 lit=0.109 read_sup=0.000 | ref_ema=0.100
  step  650/1500 loss=2.313 acc=0.089 ref=0.070 lit=0.101 read_sup=0.000 | ref_ema=0.096
  step  700/1500 loss=2.316 acc=0.085 ref=0.100 lit=0.073 read_sup=0.000 | ref_ema=0.096
  step  750/1500 loss=2.307 acc=0.104 ref=0.108 lit=0.101 read_sup=0.000 | ref_ema=0.094
  step  800/1500 loss=2.309 acc=0.090 ref=0.090 lit=0.090 read_sup=0.000 | ref_ema=0.098
