
============================================================
ARM K1
============================================================

----- K1 seed 0 -----
[arm K1] trainable=400,920 device=cuda decays=[0.0, 0.7, 0.95, 0.99] read=ON | session
  step   50/2500 loss=0.923 acc=0.704 ref=0.588 lit=0.793 read_sup=0.000 | ref_ema=0.476
  step  100/2500 loss=0.437 acc=0.836 ref=0.636 lit=0.998 read_sup=0.000 | ref_ema=0.615
  step  150/2500 loss=0.364 acc=0.846 ref=0.668 lit=0.999 read_sup=0.000 | ref_ema=0.639
  step  200/2500 loss=0.382 acc=0.824 ref=0.623 lit=1.000 read_sup=0.000 | ref_ema=0.650
  step  250/2500 loss=0.319 acc=0.849 ref=0.673 lit=0.999 read_sup=0.000 | ref_ema=0.644
  step  300/2500 loss=0.310 acc=0.848 ref=0.667 lit=1.000 read_sup=0.000 | ref_ema=0.652
  step  350/2500 loss=0.309 acc=0.839 ref=0.638 lit=1.000 read_sup=0.000 | ref_ema=0.644
  step  400/2500 loss=0.330 acc=0.838 ref=0.642 lit=1.000 read_sup=0.000 | ref_ema=0.648
  step  450/2500 loss=0.302 acc=0.851 ref=0.679 lit=1.000 read_sup=0.000 | ref_ema=0.657
  step  500/2500 loss=0.198 acc=0.924 ref=0.832 lit=1.000 read_sup=0.000 | ref_ema=0.758
  step  550/2500 loss=0.017 acc=0.996 ref=0.993 lit=0.999 read_sup=0.000 | ref_ema=0.947
  step  600/2500 loss=0.007 acc=0.997 ref=0.994 lit=1.000 read_sup=0.000 | ref_ema=0.991
  step  650/2500 loss=0.004 acc=0.998 ref=0.996 lit=1.000 read_sup=0.000 | ref_ema=0.996
  step  700/2500 loss=0.002 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=0.998
  step  750/2500 loss=0.001 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=0.999
  step  800/2500 loss=0.002 acc=0.999 ref=0.999 lit=1.000 read_sup=0.000 | ref_ema=0.999
  step  850/2500 loss=0.001 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step  900/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step  950/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1000/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1050/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1100/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1150/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1200/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1250/2500 loss=0.004 acc=0.998 ref=0.996 lit=1.000 read_sup=0.000 | ref_ema=0.999
  step 1300/2500 loss=0.007 acc=0.997 ref=0.994 lit=1.000 read_sup=0.000 | ref_ema=0.995
  step 1350/2500 loss=0.001 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=0.998
  step 1400/2500 loss=0.001 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1450/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1500/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1550/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1600/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1650/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1700/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1750/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1800/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1850/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1900/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1950/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 2000/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 2050/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 2100/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 2150/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 2200/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 2250/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 2300/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 2350/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 2400/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 2450/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 2500/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
[arm K1] lit_acc=1.000 ref_acc=1.000 (chance 0.10) delay={1: 1.0, 2: 1.0, 3: 1.0}
    layer γ=0.0: Δ1:0.11, Δ2:0.11, Δ3:0.11
    layer γ=0.7: Δ1:0.78, Δ2:0.30, Δ3:0.21
    layer γ=0.95: Δ1:0.31, Δ2:0.31, Δ3:0.35
    layer γ=0.99: Δ1:0.52, Δ2:0.32, Δ3:0.31

----- K1 seed 1 -----
[arm K1] trainable=400,920 device=cuda decays=[0.0, 0.7, 0.95, 0.99] read=ON | session
  step   50/2500 loss=0.772 acc=0.742 ref=0.576 lit=0.882 read_sup=0.000 | ref_ema=0.492
  step  100/2500 loss=0.432 acc=0.832 ref=0.625 lit=0.998 read_sup=0.000 | ref_ema=0.621
  step  150/2500 loss=0.391 acc=0.833 ref=0.633 lit=1.000 read_sup=0.000 | ref_ema=0.637
  step  200/2500 loss=0.353 acc=0.842 ref=0.662 lit=1.000 read_sup=0.000 | ref_ema=0.638
  step  250/2500 loss=0.346 acc=0.828 ref=0.615 lit=1.000 read_sup=0.000 | ref_ema=0.645
  step  300/2500 loss=0.329 acc=0.834 ref=0.640 lit=1.000 read_sup=0.000 | ref_ema=0.643
  step  350/2500 loss=0.328 acc=0.832 ref=0.648 lit=1.000 read_sup=0.000 | ref_ema=0.643
  step  400/2500 loss=0.311 acc=0.838 ref=0.634 lit=1.000 read_sup=0.000 | ref_ema=0.650
  step  450/2500 loss=0.334 acc=0.835 ref=0.625 lit=1.000 read_sup=0.000 | ref_ema=0.647
  step  500/2500 loss=0.302 acc=0.840 ref=0.658 lit=1.000 read_sup=0.000 | ref_ema=0.643
  step  550/2500 loss=0.293 acc=0.845 ref=0.670 lit=1.000 read_sup=0.000 | ref_ema=0.646
  step  600/2500 loss=0.291 acc=0.842 ref=0.660 lit=1.000 read_sup=0.000 | ref_ema=0.650
  step  650/2500 loss=0.298 acc=0.846 ref=0.664 lit=1.000 read_sup=0.000 | ref_ema=0.661
  step  700/2500 loss=0.257 acc=0.874 ref=0.722 lit=1.000 read_sup=0.000 | ref_ema=0.683
  step  750/2500 loss=0.158 acc=0.918 ref=0.817 lit=1.000 read_sup=0.000 | ref_ema=0.785
  step  800/2500 loss=0.067 acc=0.978 ref=0.956 lit=0.996 read_sup=0.000 | ref_ema=0.903
  step  850/2500 loss=0.020 acc=0.993 ref=0.986 lit=1.000 read_sup=0.000 | ref_ema=0.972
  step  900/2500 loss=0.011 acc=0.996 ref=0.993 lit=0.999 read_sup=0.000 | ref_ema=0.990
  step  950/2500 loss=0.004 acc=0.999 ref=0.997 lit=1.000 read_sup=0.000 | ref_ema=0.995
  step 1000/2500 loss=0.002 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=0.998
  step 1050/2500 loss=0.001 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=0.999
  step 1100/2500 loss=0.003 acc=0.999 ref=0.999 lit=1.000 read_sup=0.000 | ref_ema=0.999
  step 1150/2500 loss=0.001 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1200/2500 loss=0.001 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=0.999
  step 1250/2500 loss=0.002 acc=0.999 ref=0.999 lit=1.000 read_sup=0.000 | ref_ema=0.999
  step 1300/2500 loss=0.015 acc=0.996 ref=0.991 lit=1.000 read_sup=0.000 | ref_ema=0.995
